
臺灣 Taiwan,#genre#
Astro QJ, http://cdn9.1678520.xyz/smt1.1.php?id=Quanjia
TVB Jade, http://cdn9.1678520.xyz/smt1.1.php?id=Tvbjade
TVBS Asia, http://cdn9.1678520.xyz/smt1.1.php?id=Tvbasia
TVB Entertainment, http://cdn9.1678520.xyz/smt1.1.php?id=Tvbentertainment
TVB Classic, http://cdn9.1678520.xyz/smt1.1.php?id=Tvbclassic
AOD, http://cdn9.1678520.xyz/smt1.1.php?id=AodHD
One, http://cdn9.1678520.xyz/smt1.1.php?id=One_mega
TVB 星河台, http://cdn9.1678520.xyz/smt1.1.php?id=Xinhe
愛奇藝, http://cdn9.1678520.xyz/smt1.1.php?id=Qiyi
Animal Planet (Eng), http://cdn9.1678520.xyz/smt1.1.php?id=AnimalPlanet
tvN Movie, http://cdn9.1678520.xyz/smt1.1.php?id=Tvnmovie
CNN(備用), http://cdn9.1678520.xyz/smt1.1.php?id=cnn_twn
Celestial Classic, http://cdn9.1678520.xyz/smt1.1.php?id=Celestial2
CNBC, http://cdn9.1678520.xyz/smt1.1.php?id=cnbc_twn
RTM Sports HD, http://cdn9.1678520.xyz/smt1.1.php?id=Rtmsport
TLC, http://cdn9.1678520.xyz/smt1.1.php?id=Tlc
CNA, http://cdn9.1678520.xyz/smt1.1.php?id=cna
AFC 亞洲旅遊台, http://cdn9.1678520.xyz/smt1.1.php?id=asiatravel_twn
BBC World News, http://cdn9.1678520.xyz/smt1.1.php?id=bbcnews_twn
Foodnetwork Hd, http://cdn9.1678520.xyz/smt1.1.php?id=Foodnetwork_mega
HGTV, http://cdn9.1678520.xyz/smt1.1.php?id=HGTV
Arena, http://cdn9.1678520.xyz/smt1.1.php?id=Arena
Goshop, http://cdn9.1678520.xyz/smt1.1.php?id=Goshop
Celestial Movies HD, http://cdn9.1678520.xyz/smt1.1.php?id=Celestial_mega
Arena 2, http://cdn9.1678520.xyz/smt1.1.php?id=Arena2
Axn HD, http://cdn9.1678520.xyz/smt1.1.php?id=Axn
Paramount Network, http://cdn9.1678520.xyz/smt1.1.php?id=Paramountnetwork
BolaArena 1, http://cdn9.1678520.xyz/smt1.1.php?id=Bolaarena1
Astrol Kplus, http://cdn9.1678520.xyz/smt1.1.php?id=Kplus
Rock Actions, http://cdn9.1678520.xyz/smt1.1.php?id=Rockaction
Bloomberg News, http://cdn9.1678520.xyz/smt1.1.php?id=bloomberg_twn
Al-Jazeera, http://cdn9.1678520.xyz/smt1.1.php?id=aljazeera_twn
Rock Entertainment, http://cdn9.1678520.xyz/smt1.1.php?id=Rockentertain
Showcase, http://cdn9.1678520.xyz/smt1.1.php?id=Showcase_mega
BolaArena 2, http://cdn9.1678520.xyz/smt1.1.php?id=Bolaarena2
新加坡 Singapore,#genre#
Channel 5, http://cdn9.1678520.xyz/smt1.1.php?id=Channel5HD
Channel 5(備用), http://cdn9.1678520.xyz/smt1.1.php?id=Ch5_mega
Channel 8, http://cdn9.1678520.xyz/smt1.1.php?id=Channel8HD
Channel 8(備用), http://cdn9.1678520.xyz/smt1.1.php?id=Ch8_mega
Suria, http://cdn9.1678520.xyz/smt1.1.php?id=Suria
Suria(備用), http://cdn9.1678520.xyz/smt1.1.php?id=Suria_backup
Channel U, http://cdn9.1678520.xyz/smt1.1.php?id=ChannelU
Channel U(備用), http://cdn9.1678520.xyz/smt1.1.php?id=ChU_mega
Vasantham, http://cdn9.1678520.xyz/smt1.1.php?id=Vasantham
Vasantham(備用), http://cdn9.1678520.xyz/smt1.1.php?id=Vasantham_mega
CNA, http://cdn9.1678520.xyz/smt1.1.php?id=cna
CNA(備用), http://cdn9.1678520.xyz/smt1.1.php?id=cna_twn
印尼 Indonesia,#genre#
TVRI National, http://cdn9.1678520.xyz/smt1.1.php?id=TVRI
RCTI, http://cdn9.1678520.xyz/smt1.1.php?id=Rcti
Kompass TV, http://cdn9.1678520.xyz/smt1.1.php?id=Kompass
Berita Satu, http://cdn9.1678520.xyz/smt1.1.php?id=BeritaSatu_eko
Indosiar HD, http://cdn9.1678520.xyz/smt1.1.php?id=Indosiar
AnTV, http://cdn9.1678520.xyz/smt1.1.php?id=Antv
MNC TV, http://cdn9.1678520.xyz/smt1.1.php?id=Mnctv
Trans 7, http://cdn9.1678520.xyz/smt1.1.php?id=Trans7_eko
Transtv, http://cdn9.1678520.xyz/smt1.1.php?id=Transtv
JTV, http://cdn9.1678520.xyz/smt1.1.php?id=JTV_eko
Metro TV, http://cdn9.1678520.xyz/smt1.1.php?id=metrotv_eko
Cinemax, http://cdn9.1678520.xyz/smt1.1.php?id=Cinemax
SCTV, http://cdn9.1678520.xyz/smt1.1.php?id=SCTV
Tvone, http://cdn9.1678520.xyz/smt1.1.php?id=Tvone
TVMU, http://cdn9.1678520.xyz/smt1.1.php?id=TVMU_eko
GTV, http://cdn9.1678520.xyz/smt1.1.php?id=Gtv
RTV, http://cdn9.1678520.xyz/smt1.1.php?id=Rtv
Jak TV, http://cdn9.1678520.xyz/smt1.1.php?id=JakTV
iNews TV, http://cdn9.1678520.xyz/smt1.1.php?id=Inewstv
Daai TV, http://cdn9.1678520.xyz/smt1.1.php?id=DaaiTV
Net TV, http://cdn9.1678520.xyz/smt1.1.php?id=NetTV
Animax, http://cdn9.1678520.xyz/smt1.1.php?id=Animax
EWTN, http://cdn9.1678520.xyz/smt1.1.php?id=Ewtn
AlQuran AlKareem, http://cdn9.1678520.xyz/smt1.1.php?id=AlQuran
Tawaf TV, http://cdn9.1678520.xyz/smt1.1.php?id=TawafTV
Vision Prime, http://cdn9.1678520.xyz/smt1.1.php?id=VisionPrime
Muslim TV, http://cdn9.1678520.xyz/smt1.1.php?id=MuslimTV
Music TV, http://cdn9.1678520.xyz/smt1.1.php?id=MusicTV
Lifestyle&Fashion, http://cdn9.1678520.xyz/smt1.1.php?id=Lifestyle
Entertain, http://cdn9.1678520.xyz/smt1.1.php?id=Entertain
Hits, http://cdn9.1678520.xyz/smt1.1.php?id=Hits
Warner TV, http://cdn9.1678520.xyz/smt1.1.php?id=WarnerTV
SCM, http://cdn9.1678520.xyz/smt1.1.php?id=Weishimovie
Thrill, http://cdn9.1678520.xyz/smt1.1.php?id=Thrill
Fight Sports, http://cdn9.1678520.xyz/smt1.1.php?id=Fs
Beinsports 2 HD, http://cdn9.1678520.xyz/smt1.1.php?id=Bein2hd
Hits Movie, http://cdn9.1678520.xyz/smt1.1.php?id=Hitsmovie
One, http://cdn9.1678520.xyz/smt1.1.php?id=One_mega
tvN Movie, http://cdn9.1678520.xyz/smt1.1.php?id=Tvnmovie
Celestial Movies HD, http://cdn9.1678520.xyz/smt1.1.php?id=Celestialindo
Rock Actions, http://cdn9.1678520.xyz/smt1.1.php?id=Rockaction
Rock Entertainment, http://cdn9.1678520.xyz/smt1.1.php?id=Rockentertain
香港 Hongkong,#genre#
J2(備用), http://cdn9.1678520.xyz/smt1.1.php?id=j2_hkdavid
J2, http://cdn9.1678520.xyz/smt1.1.php?id=j2_twn
RHK 31, http://cdn9.1678520.xyz/smt1.1.php?id=rhk31_twn
RHK 32, http://cdn9.1678520.xyz/smt1.1.php?id=rhk32_twn
TVB 星河, http://cdn9.1678520.xyz/smt1.1.php?id=tvbxinhe_twn
VIUTV1, http://cdn9.1678520.xyz/smt1.1.php?id=viu1_twn
Viu TV 69, http://cdn9.1678520.xyz/smt1.1.php?id=viutv69_hkdavid
Viu6, http://cdn9.1678520.xyz/smt1.1.php?id=viusix_twn
iNews 新聞台, http://cdn9.1678520.xyz/smt1.1.php?id=inews_twn
無線財經資訊台, http://cdn9.1678520.xyz/smt1.1.php?id=tvbcaijing_twn
珍珠台(備用), http://cdn9.1678520.xyz/smt1.1.php?id=pearl_hkdavid
珍珠台, http://cdn9.1678520.xyz/smt1.1.php?id=pearl_twn
翡翠台(備用), http://cdn9.1678520.xyz/smt1.1.php?id=jade_mike
翡翠台, http://cdn9.1678520.xyz/smt1.1.php?id=jade_twn
鳳凰衛視, http://cdn9.1678520.xyz/smt1.1.php?id=phoenixtv_hd
鳳凰資訊, http://cdn9.1678520.xyz/smt1.1.php?id=phoenixinfo_hd
鳳凰香港, http://cdn9.1678520.xyz/smt1.1.php?id=hkphoenix_twn
中國 China,#genre#
CCTV-1, http://cdn9.1678520.xyz/smt1.1.php?id=cctv1
CCTV-2, http://cdn9.1678520.xyz/smt1.1.php?id=cctv2
CCTV-3, http://cdn9.1678520.xyz/smt1.1.php?id=cctv3
CCTV-4, http://cdn9.1678520.xyz/smt1.1.php?id=cctv4
CCTV-4, http://cdn9.1678520.xyz/smt1.1.php?id=Cctv4
CCTV-5, http://cdn9.1678520.xyz/smt1.1.php?id=cctv5
CCTV-5+, http://cdn9.1678520.xyz/smt1.1.php?id=cctv5plus
CCTV-6, http://cdn9.1678520.xyz/smt1.1.php?id=cctv6
CCTV-7, http://cdn9.1678520.xyz/smt1.1.php?id=cctv7
CCTV-8, http://cdn9.1678520.xyz/smt1.1.php?id=cctv8hd
CCTV-9, http://cdn9.1678520.xyz/smt1.1.php?id=cctv9hd
CCTV-10, http://cdn9.1678520.xyz/smt1.1.php?id=cctv10hd
CCTV-11, http://cdn9.1678520.xyz/smt1.1.php?id=cctv11
CCTV-12, http://cdn9.1678520.xyz/smt1.1.php?id=cctv12
CCTV-13, http://cdn9.1678520.xyz/smt1.1.php?id=cctv13
CCTV-14, http://cdn9.1678520.xyz/smt1.1.php?id=cctv14
CCTV-15, http://cdn9.1678520.xyz/smt1.1.php?id=cctv15
CCTV-16, http://cdn9.1678520.xyz/smt1.1.php?id=cctv16
CCTV-17, http://cdn9.1678520.xyz/smt1.1.php?id=cctv17
湖南衛視, http://cdn9.1678520.xyz/smt1.1.php?id=hunan_twn
江蘇衛視, http://cdn9.1678520.xyz/smt1.1.php?id=jiangsu_twn
深圳衛視, http://cdn9.1678520.xyz/smt1.1.php?id=shenzhen
大灣區衛視, http://cdn9.1678520.xyz/smt1.1.php?id=nanfang_twn
廣東衛視, http://cdn9.1678520.xyz/smt1.1.php?id=guangdongweishi_twn
北京衛視, http://cdn9.1678520.xyz/smt1.1.php?id=beijing
廣東珠江, http://cdn9.1678520.xyz/smt1.1.php?id=zhujiang
廣西衛視, http://cdn9.1678520.xyz/smt1.1.php?id=guangxi
湖北衛視, http://cdn9.1678520.xyz/smt1.1.php?id=hubei
四川衛視, http://cdn9.1678520.xyz/smt1.1.php?id=sichuan_twn
鳳凰衛視, http://cdn9.1678520.xyz/smt1.1.php?id=phoenixtv_hd
東方衛視, http://cdn9.1678520.xyz/smt1.1.php?id=dongfangweishi_twn
CGTN, http://cdn9.1678520.xyz/smt1.1.php?id=CGTN
鳳凰資訊, http://cdn9.1678520.xyz/smt1.1.php?id=phoenixinfo_hd
體育 Sports,#genre#
Supersports 1, http://cdn9.1678520.xyz/smt1.1.php?id=Assp1
Supersports 1(備用), http://cdn9.1678520.xyz/smt1.1.php?id=go_assp1
Supersportq 1(備用2), http://cdn9.1678520.xyz/smt1.1.php?id=Assp1_mega
Supersports 2, http://cdn9.1678520.xyz/smt1.1.php?id=Assp2
Supersports 2(備用), http://cdn9.1678520.xyz/smt1.1.php?id=go_assp2
Supersports 3, http://cdn9.1678520.xyz/smt1.1.php?id=Assp3
Supersports 3(備用), http://cdn9.1678520.xyz/smt1.1.php?id=go_assp3
Supersports 3(備用2), http://cdn9.1678520.xyz/smt1.1.php?id=Assp3_mega
Supersports 4, http://cdn9.1678520.xyz/smt1.1.php?id=Assp4_mega
Supersports 4(備用), http://cdn9.1678520.xyz/smt1.1.php?id=go_assp4
Supersports 5, http://cdn9.1678520.xyz/smt1.1.php?id=go_assp5
Bein 2HD, http://cdn9.1678520.xyz/smt1.1.php?id=Beinhd
Beinsports HD, http://cdn9.1678520.xyz/smt1.1.php?id=Besports
Champion 5 EPL, http://cdn9.1678520.xyz/smt1.1.php?id=Champion5epl
WWE, http://cdn9.1678520.xyz/smt1.1.php?id=Wwe
Champion 6 EPL, http://cdn9.1678520.xyz/smt1.1.php?id=Champion6epl
Fight Sports, http://cdn9.1678520.xyz/smt1.1.php?id=Fs
UFC Network, http://cdn9.1678520.xyz/smt1.1.php?id=ufc_mega
NBA TV, http://cdn9.1678520.xyz/smt1.1.php?id=nbatv_twn
Astro Cricket, http://cdn9.1678520.xyz/smt1.1.php?id=Acricket_mega
Astro Golf, http://cdn9.1678520.xyz/smt1.1.php?id=Agolf
TNT Sports 1, http://cdn9.1678520.xyz/smt1.1.php?id=beeone
TNT Sports 2, http://cdn9.1678520.xyz/smt1.1.php?id=beetwo
TNT Sports 3, http://cdn9.1678520.xyz/smt1.1.php?id=beethree
TNT Sports 4, http://cdn9.1678520.xyz/smt1.1.php?id=beefour
Sony Ten 1, http://cdn9.1678520.xyz/smt1.1.php?id=ten1_raj
Sony Ten 2, http://cdn9.1678520.xyz/smt1.1.php?id=ten2_raj
Sony Ten 3, http://cdn9.1678520.xyz/smt1.1.php?id=ten3_raj
SPOTV 1 HD, http://cdn9.1678520.xyz/smt1.1.php?id=go_spotv
SPO TV 2, http://cdn9.1678520.xyz/smt1.1.php?id=go_spotv2
Beinsports 2 HD, http://cdn9.1678520.xyz/smt1.1.php?id=Bein2hd
Skysports Arena, http://cdn9.1678520.xyz/smt1.1.php?id=tiankongarena
Skysports F1, http://cdn9.1678520.xyz/smt1.1.php?id=tiankongf1
Skysports Cricket, http://cdn9.1678520.xyz/smt1.1.php?id=tiankongcricket
Skysports EPL, http://cdn9.1678520.xyz/smt1.1.php?id=tiankongepl
Skysports Football, http://cdn9.1678520.xyz/smt1.1.php?id=tiankongfootball
Skysports Golf, http://cdn9.1678520.xyz/smt1.1.php?id=tiankonggolf
Skysports Main Event, http://cdn9.1678520.xyz/smt1.1.php?id=tiankongmain
Skysports News, http://cdn9.1678520.xyz/smt1.1.php?id=tiankongnews
Skysports NFL, http://cdn9.1678520.xyz/smt1.1.php?id=tiankongnfl
Skysports Racing, http://cdn9.1678520.xyz/smt1.1.php?id=tiankongracing
Skysports Mix, http://cdn9.1678520.xyz/smt1.1.php?id=tiankongmix
CCTV-5, http://cdn9.1678520.xyz/smt1.1.php?id=cctv5
CCTV-5+, http://cdn9.1678520.xyz/smt1.1.php?id=cctv5plus
愛爾達體育2台, http://cdn9.1678520.xyz/smt1.1.php?id=eltasport2_twn
愛爾達體育3台, http://cdn9.1678520.xyz/smt1.1.php?id=eltasport3_twn
RTM Sports HD, http://cdn9.1678520.xyz/smt1.1.php?id=Rtmsport
Arena, http://cdn9.1678520.xyz/smt1.1.php?id=Arena
Arena 2, http://cdn9.1678520.xyz/smt1.1.php?id=Arena2
BolaArena 1, http://cdn9.1678520.xyz/smt1.1.php?id=Bolaarena1
Bein 1 Sports, http://cdn9.1678520.xyz/smt1.1.php?id=bein1_mega
Bein 2 Sports, http://cdn9.1678520.xyz/smt1.1.php?id=bein2_mega
Bein 3 Sports, http://cdn9.1678520.xyz/smt1.1.php?id=bein3_mega
Bein 4 Sports, http://cdn9.1678520.xyz/smt1.1.php?id=bein4_mega
Bein 5 Sports, http://cdn9.1678520.xyz/smt1.1.php?id=bein5_mega
Bein 6 Sports, http://cdn9.1678520.xyz/smt1.1.php?id=bein6_mega
Bein 7 Sports, http://cdn9.1678520.xyz/smt1.1.php?id=bein7_mega
Rugby Pass TV, http://cdn9.1678520.xyz/smt1.1.php?id=Rugbypasstv
BolaArena 2, http://cdn9.1678520.xyz/smt1.1.php?id=Bolaarena2
印度 Indian,#genre#
Sun TV HD, http://cdn9.1678520.xyz/smt1.1.php?id=Suntv
Star Vijay, http://cdn9.1678520.xyz/smt1.1.php?id=Starvijay
Colors Tamil, http://cdn9.1678520.xyz/smt1.1.php?id=Colorstam_mega
Sun Music, http://cdn9.1678520.xyz/smt1.1.php?id=Sunmusic
Astro Sunlife, http://cdn9.1678520.xyz/smt1.1.php?id=Sunlife
Astro Vaanavil, http://cdn9.1678520.xyz/smt1.1.php?id=Vaanavil
Zee Tamil, http://cdn9.1678520.xyz/smt1.1.php?id=Zeetamil
Zee Business, http://cdn9.1678520.xyz/smt1.1.php?id=Zeebusiness
News 18 Tamil, http://cdn9.1678520.xyz/smt1.1.php?id=news18tamil_raj
Adithya, http://cdn9.1678520.xyz/smt1.1.php?id=Adithya
Makkal TV, http://cdn9.1678520.xyz/smt1.1.php?id=Makkaltv
Zee Action, http://cdn9.1678520.xyz/smt1.1.php?id=Zeeaction
Astro KTV, http://cdn9.1678520.xyz/smt1.1.php?id=Astroktv
Zee TV HD, http://cdn9.1678520.xyz/smt1.1.php?id=Zeetvhd
Zee Cinema HD, http://cdn9.1678520.xyz/smt1.1.php?id=Zeecinemahd
Color HD, http://cdn9.1678520.xyz/smt1.1.php?id=Colorhd
Starplus HD, http://cdn9.1678520.xyz/smt1.1.php?id=Starplushd
Picture HD, http://cdn9.1678520.xyz/smt1.1.php?id=Npicture
Zee News, http://cdn9.1678520.xyz/smt1.1.php?id=Zeenews
Asianet, http://cdn9.1678520.xyz/smt1.1.php?id=asianet_raj
Asianet News, http://cdn9.1678520.xyz/smt1.1.php?id=asianetnews_raj
Times Now, http://cdn9.1678520.xyz/smt1.1.php?id=timesnow_mega
BBC Earth Tamil, http://cdn9.1678520.xyz/smt1.1.php?id=bbcearthtam_raj
Discovery World Tamil, http://cdn9.1678520.xyz/smt1.1.php?id=discoveryworldtam_raj
History Tamil, http://cdn9.1678520.xyz/smt1.1.php?id=historytam_raj
NatGeo Tamil, http://cdn9.1678520.xyz/smt1.1.php?id=natgeotamil_raj
Natgeo Wild Tamil, http://cdn9.1678520.xyz/smt1.1.php?id=natgeowildtamil_raj
Discovery Kids Tamil, http://cdn9.1678520.xyz/smt1.1.php?id=discoverykidtamil_raj
Discovery Tamil, http://cdn9.1678520.xyz/smt1.1.php?id=discoverytamil_raj
